protein_1,protein_1_idx,protein_2,protein_2_idx,confidence,attributes,attribute_p1,attribute_p2
samplewt_003,1,samplewt_12002,402,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_14030,868,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_18325,1767,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_20874,2318,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_23359,2777,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_23952,2907,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_24119,2943,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_27155,3591,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_30846,4378,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_3591,4939,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_4379,5108,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_4954,5248,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_5768,5405,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_5829,5422,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_5858,5431,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_8115,5933,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_8660,6051,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_003,1,samplewt_8686,6057,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_007,2,samplewt_18486,1796,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_007,2,samplewt_21757,2474,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_007,2,samplewt_31537,4537,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_007,2,samplewt_31930,4615,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_007,2,samplewt_3309,4857,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_007,2,samplewt_5434,5328,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_007,2,samplewt_7416,5769,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_007,2,samplewt_7476,5780,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_10311,82,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_12802,588,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_12839,602,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_13955,846,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_010,3,samplewt_15920,1264,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_16814,1434,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_18936,1877,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_19460,2005,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_010,3,samplewt_20096,2131,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_20865,2312,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_21146,2362,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_24366,3006,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_24598,3059,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_30847,4379,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_31027,4417,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_32294,4687,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_32966,4834,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_4349,5092,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_010,3,samplewt_8197,5945,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_010,3,samplewt_9946,6284,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_044,9,samplewt_10215,62,,"['NONE', 'NIGHT', 'DAY']",NONE,DAY
samplewt_044,9,samplewt_11760,355,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_044,9,samplewt_12784,585,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_044,9,samplewt_13152,667,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_044,9,samplewt_21320,2398,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_044,9,samplewt_26214,3406,,"['NONE', 'NIGHT', 'DAY']",NONE,DAY
samplewt_044,9,samplewt_28575,3869,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_046,11,samplewt_12920,626,,"['NONE', 'NIGHT', 'DAY']",DAY,NONE
samplewt_046,11,samplewt_17963,1698,,"['NONE', 'NIGHT', 'DAY']",DAY,NONE
samplewt_046,11,samplewt_2215,2555,,"['NONE', 'NIGHT', 'DAY']",DAY,NIGHT
samplewt_067,14,samplewt_10851,194,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_14957,1054,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_15497,1170,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_15552,1179,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_25079,3166,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_26623,3496,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_27023,3568,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_28971,3966,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NIGHT
samplewt_067,14,samplewt_302,4236,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_31438,4510,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_4229,5060,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_067,14,samplewt_7845,5858,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_12841,605,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_15861,1249,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_19526,2019,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_22001,2523,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_23327,2773,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_23784,2866,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NIGHT
samplewt_072,15,samplewt_29929,4173,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_3585,4935,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_5322,5308,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_5536,5353,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_7156,5709,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_072,15,samplewt_8356,5973,,"['NONE', 'NIGHT', 'DAY']",NIGHT,NONE
samplewt_095,23,samplewt_11070,232,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_12395,503,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_13055,645,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_13080,650,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_13751,791,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_095,23,samplewt_13955,846,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_095,23,samplewt_14106,884,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_14471,956,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_14762,1016,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_15315,1127,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_095,23,samplewt_15411,1152,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_16782,1425,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_095,23,samplewt_18936,1877,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_1900,1891,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_19554,2029,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_20865,2312,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_21146,2362,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_21529,2442,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_21996,2518,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_22064,2533,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_22082,2539,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_24366,3006,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_24941,3148,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_26682,3510,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_27830,3720,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_28288,3798,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_28434,3829,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_2910,4004,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_29124,4008,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_29864,4161,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_30847,4379,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_31027,4417,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_3430,4896,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_4349,5092,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_5443,5331,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_5537,5354,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_6267,5523,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_7200,5726,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_8024,5908,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_8197,5945,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_095,23,samplewt_8600,6031,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_095,23,samplewt_9232,6150,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_097,25,samplewt_13215,681,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_097,25,samplewt_16482,1353,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_097,25,samplewt_2132,2397,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_097,25,samplewt_27990,3746,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_097,25,samplewt_29376,4064,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_097,25,samplewt_33096,4859,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_097,25,samplewt_5412,5319,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_097,25,samplewt_9409,6181,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1001,27,samplewt_15400,1150,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1001,27,samplewt_18855,1869,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1001,27,samplewt_22713,2665,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1001,27,samplewt_23084,2724,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1001,27,samplewt_29494,4086,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1001,27,samplewt_32868,4810,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1001,27,samplewt_9206,6141,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_17093,1493,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_1784,1681,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_19751,2061,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_1002,29,samplewt_20203,2152,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_20440,2206,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_22261,2579,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_25690,3299,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_29466,4080,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_29507,4092,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_1002,29,samplewt_29954,4183,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_3313,4868,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_1002,29,samplewt_7522,5793,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1002,29,samplewt_8637,6044,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1003,32,samplewt_2544,3241,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_1003,32,samplewt_27696,3691,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10073,37,samplewt_13628,767,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10073,37,samplewt_1429,909,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10073,37,samplewt_16687,1397,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10073,37,samplewt_16778,1422,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10073,37,samplewt_18661,1823,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10073,37,samplewt_24364,3005,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10073,37,samplewt_26888,3545,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10073,37,samplewt_29329,4058,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10073,37,samplewt_31538,4538,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10073,37,samplewt_9604,6211,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10096,42,samplewt_22501,2625,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10096,42,samplewt_23996,2922,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10096,42,samplewt_30454,4305,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10096,42,samplewt_31932,4616,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10096,42,samplewt_5711,5390,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_18486,1796,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_21757,2474,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_31537,4537,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_31930,4615,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_3309,4857,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_5434,5328,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_7416,5769,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10136,49,samplewt_7476,5780,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_10668,153,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_10820,189,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_12053,416,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_12135,439,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_12242,465,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_12291,476,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_12358,494,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_13055,645,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_13629,768,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_13751,791,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_14106,884,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_14159,890,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_14609,986,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_14632,993,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_15315,1127,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_15327,1128,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_15399,1149,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_15649,1196,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_15662,1204,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_16782,1425,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_180,1711,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_18131,1735,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_1868,1830,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_1900,1891,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_19194,1936,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_19197,1937,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_19229,1945,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_20234,2165,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_20594,2242,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_20595,2243,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_21165,2369,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_21529,2442,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_22064,2533,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_23193,2740,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_234,2788,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_23456,2801,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_2369,2838,,"['NONE', 'NIGHT', 'DAY']",NONE,DAY
samplewt_10146,51,samplewt_23731,2854,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_2381,2871,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_24124,2946,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_24125,2947,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_24630,3067,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_2492,3143,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_25096,3170,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_2526,3205,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_25466,3247,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_26801,3532,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_26882,3543,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_28434,3829,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_28578,3870,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_29061,3988,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_2910,4004,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_29124,4008,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_2917,4023,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_29548,4102,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_30076,4206,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_308,4374,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_31196,4457,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_3170,4564,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_32082,4643,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_32173,4663,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_32233,4671,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_32260,4679,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_32262,4681,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_32732,4779,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_33095,4858,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_4278,5072,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_4324,5084,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_4368,5099,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_4427,5129,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_4719,5193,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_4777,5211,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_5251,5296,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_5537,5354,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_5617,5365,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_6501,5564,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_7166,5714,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_7200,5726,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_8516,6008,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_8657,6049,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10146,51,samplewt_8888,6094,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_8889,6095,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_9036,6114,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_9232,6150,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_9605,6212,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10146,51,samplewt_9979,6291,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_10820,189,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_12135,439,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_13629,768,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_1569,1218,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_17187,1520,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_17442,1587,,"['NONE', 'NIGHT', 'DAY']",NONE,NIGHT
samplewt_10148,53,samplewt_1791,1692,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_18936,1877,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_19194,1936,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_20188,2150,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_20832,2303,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_20865,2312,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
samplewt_10148,53,samplewt_22262,2580,,"['NONE', 'NIGHT', 'DAY']",NONE,NONE
